Sequence,Support,Relative Frequency
{9 days},11,0.9166666666666666
{1. star. obd.},9,0.75
{10 days},11,0.9166666666666666
{Okužba s Covid-19},10,0.8333333333333334
{Sum na okužbo},11,0.9166666666666666
{2. star. obd.},11,0.9166666666666666
"{9 days}, {Okužba s Covid-19}",6,0.5
"{10 days}, {2. star. obd.}",8,0.6666666666666666
"{1. star. obd.}, {10 days}",8,0.6666666666666666
"{1. star. obd.}, {Okužba s Covid-19}",8,0.6666666666666666
"{10 days}, {9 days}",8,0.6666666666666666
"{1. star. obd.}, {Sum na okužbo}",8,0.6666666666666666
"{2. star. obd.}, {9 days}",8,0.6666666666666666
"{9 days}, {Sum na okužbo}",8,0.6666666666666666
"{Okužba s Covid-19}, {Sum na okužbo}",9,0.75
"{10 days}, {Okužba s Covid-19}",8,0.6666666666666666
"{2. star. obd.}, {Okužba s Covid-19}",7,0.5833333333333334
"{10 days}, {Sum na okužbo}",9,0.75
"{2. star. obd.}, {Sum na okužbo}",11,0.9166666666666666
"{1. star. obd.}, {2. star. obd.}",7,0.5833333333333334
"{1. star. obd.}, {9 days}",8,0.6666666666666666
"{10 days}, {2. star. obd.}, {Okužba s Covid-19}",6,0.5
"{1. star. obd.}, {9 days}, {Okužba s Covid-19}",6,0.5
"{1. star. obd.}, {10 days}, {2. star. obd.}",7,0.5833333333333334
"{10 days}, {2. star. obd.}, {Sum na okužbo}",8,0.6666666666666666
"{1. star. obd.}, {9 days}, {Sum na okužbo}",6,0.5
"{1. star. obd.}, {10 days}, {9 days}",6,0.5
"{1. star. obd.}, {2. star. obd.}, {9 days}",6,0.5
"{1. star. obd.}, {Okužba s Covid-19}, {Sum na okužbo}",7,0.5833333333333334
"{1. star. obd.}, {10 days}, {Okužba s Covid-19}",7,0.5833333333333334
"{2. star. obd.}, {Okužba s Covid-19}, {Sum na okužbo}",7,0.5833333333333334
"{1. star. obd.}, {10 days}, {Sum na okužbo}",7,0.5833333333333334
"{1. star. obd.}, {2. star. obd.}, {Okužba s Covid-19}",6,0.5
"{1. star. obd.}, {2. star. obd.}, {Sum na okužbo}",6,0.5
"{10 days}, {2. star. obd.}, {9 days}",7,0.5833333333333334
"{10 days}, {9 days}, {Sum na okužbo}",6,0.5
"{10 days}, {Okužba s Covid-19}, {Sum na okužbo}",7,0.5833333333333334
"{2. star. obd.}, {9 days}, {Sum na okužbo}",6,0.5
"{10 days}, {2. star. obd.}, {9 days}, {Sum na okužbo}",6,0.5
"{1. star. obd.}, {10 days}, {Okužba s Covid-19}, {Sum na okužbo}",6,0.5
"{1. star. obd.}, {2. star. obd.}, {9 days}, {Sum na okužbo}",6,0.5
"{10 days}, {2. star. obd.}, {Okužba s Covid-19}, {Sum na okužbo}",6,0.5
"{1. star. obd.}, {2. star. obd.}, {Okužba s Covid-19}, {Sum na okužbo}",6,0.5
